country,pathogen,pathogen_label,pathogen_column,month_start,count,spec_processed_nb
Egypt,RSV,RSV,RSV,1997-12-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-01-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-02-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-03-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-04-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-05-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-06-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-07-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-08-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-09-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-10-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-11-01,0.0,0.0
Egypt,RSV,RSV,RSV,1998-12-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-01-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-02-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-03-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-04-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-05-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-06-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-07-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-08-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-09-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-10-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-11-01,0.0,0.0
Egypt,RSV,RSV,RSV,1999-12-01,0.0,0.0
Egypt,RSV,RSV,RSV,2000-01-01,0.0,0.0
Egypt,RSV,RSV,RSV,2000-02-01,0.0,0.0
Egypt,RSV,RSV,RSV,2000-03-01,0.0,0.0
Egypt,RSV,RSV,RSV,2000-04-01,0.0,0.0
Egypt,RSV,RSV,RSV,2000-05-01,0.0,0.0
Egypt,RSV,RSV,RSV,2000-06-01,0.0,0.0
Egypt,RSV,RSV,RSV,2000-07-01,0.0,0.0
Egypt,RSV,RSV,RSV,2000-08-01,0.0,0.0
Egypt,RSV,RSV,RSV,2000-09-01,0.0,0.0
Egypt,RSV,RSV,RSV,2000-10-01,0.0,0.0
